,word,pola,극성
0,경기/NNG;침체/NNG;위험/NNG,0.427122399251,N
1,매출/NNG;부진/NNG,0.397207489796,N
2,통화불일치/NNG,0.37360441613,N
3,복구자금/NNG,0.396246829155,N
4,감한/VV,0.423900032438,N
5,전무/NNG,0.365855526934,N
6,재무/NNG;건전성/NNG;취약/NNG,0.387312818961,N
7,으며/VV,0.63861901829,N
8,crs/NNG,0.583232289205,N
9,컨텐트/NNG,0.458787621039,N
10,주택시장/NNG;불확실성/NNG,0.429432992355,N
11,자영업자/NNG,0.509394642734,N
12,리저브/NNG,0.396436314537,N
13,집행자금/NNG,0.419888092739,N
14,fed/NNG;경제/NNG;성장률/NNG;전망/NNG;하향/NNG,0.421999543573,N
15,성수품/NNG,0.365976168153,N
16,가격/NNG;오르/VV;그치/VV,0.441981514534,N
17,국제/NNG;금융시장/NNG;충격/NNG,0.438631139671,N
18,재정보강/NNG,0.424834931586,N
19,대출/NNG;증대/NNG,0.429309901002,N
20,저항선/NNG,0.466673569579,N
22,보호/NNG,0.368075554062,N
24,부동산/NNG;가격/NNG;상승/NNG;거품/NNG,0.288833364705,N
25,부활/NNG,0.502453736491,N
26,주목적/NNG,0.426708876383,N
28,경제/NNG;지표/NNG;발표/NNG;상승/NNG,0.384752712707,N
29,위험/NNG;경기/NNG;둔화/NNG,0.731004130157,N
30,비은행/NNG,0.531027225582,N
31,하락/NNG;경제/NNG;지표/NNG;개선/NNG,0.336467165338,N
32,제어/NNG,0.356017273359,N
33,위험/NNG;프리미엄/NNG;확대/NNG,0.420652549276,N
34,경제주체/NNG;심리/NNG;개선/NNG,0.451848259984,N
35,왜곡/NNG,0.417232489375,N
36,금융안정/NNG,0.628003577368,N
38,생겨/VV,0.432082342712,N
39,건설/NNG;투자/NNG;하락/NNG,0.397328419344,N
40,실물/NNG;회복/NNG,0.424231891022,N
41,절하/NNG;신흥국/NNG;통화/NNG;약세/NNG,0.406540337081,N
42,소비/NNG;소득/NNG;증가/NNG,0.376917616851,N
43,채권/NNG;가격/NNG;상승/NNG,0.402022761508,N
44,별다른/VA,0.346639191099,N
45,완화/NNG;금리/NNG;하락/NNG,0.736169266148,N
46,법인세법/NNG,0.728951804117,N
47,선물시장/NNG,0.379066141867,N
48,수행/NNG,0.462842845659,N
49,치열/NNG,0.415930693975,N
