,category1,category2,filename,sid1,sid2
0,경제,글로벌 경제 ,경제_글로벌경제,101,262
1,경제,금융 ,경제_금융,101,259
2,경제,산업/재계 ,경제_산업재계,101,261
3,경제,부동산 ,경제_부동산,101,260
4,경제,중기/벤처 ,경제_중기벤처,101,771
5,경제,증권 ,경제_증권,101,258
6,경제,경제 일반 ,경제_경제일반,101,263
7,경제,생활경제 ,경제_생활경제,101,310
8,IT/과학,과학 일반 ,IT과학_과학일반,105,228
9,IT/과학,게임/리뷰 ,IT과학_게임리뷰,105,229
10,IT/과학,컴퓨터 ,IT과학_컴퓨터,105,283
11,IT/과학,통신/뉴미디어 ,IT과학_통신뉴미디어,105,227
12,IT/과학,모바일 ,IT과학_모바일,105,731
13,IT/과학,인터넷/SNS ,IT과학_인터넷SNS,105,226
14,IT/과학,IT 일반 ,IT과학_IT일반,105,230
15,IT/과학,보안/해킹 ,IT과학_보안해킹,105,732
16,사회,교육 ,사회_교육,102,250
17,사회,노동 ,사회_노동,102,251
18,사회,인물 ,사회_인물,102,276
19,사회,지역 ,사회_지역,102,256
20,사회,인권/복지 ,사회_인권복지,102,59
21,사회,사건사고 ,사회_사건사고,102,249
22,사회,언론 ,사회_언론,102,254
23,사회,환경 ,사회_환경,102,252
24,사회,사회 일반 ,사회_사회일반,102,257
25,사회,식품/의료 ,사회_식품의료,102,255
26,생활/문화,날씨 ,생활문화_날씨,103,248
27,생활/문화,생활문화 일반 ,생활문화_생활문화일반,103,245
28,생활/문화,공연/전시 ,생활문화_공연전시,103,242
29,생활/문화,음식/맛집 ,생활문화_음식맛집,103,238
30,생활/문화,패션/뷰티 ,생활문화_패션뷰티,103,376
31,생활/문화,자동차/시승기 ,생활문화_자동차시승기,103,239
32,생활/문화,도로/교통 ,생활문화_도로교통,103,240
33,생활/문화,여행/레저 ,생활문화_여행레저,103,237
34,생활/문화,종교 ,생활문화_종교,103,244
35,생활/문화,책 ,생활문화_책,103,243
36,생활/문화,건강정보 ,생활문화_건강정보,103,241
37,정치,정치일반 ,정치_정치일반,100,269
38,정치,국방/외교 ,정치_국방외교,100,267
39,정치,청와대 ,정치_청와대,100,264
40,정치,국회/정당 ,정치_국회정당,100,265
41,정치,북한 ,정치_북한,100,268
42,정치,행정 ,정치_행정,100,266
